Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
Djibouti,11434,151.0,11266,17,,151.0,154011.0,153928.0,1000540.0,20,0.0,0,20,2021-05-18 02:08:00+00:00
Congo,11343,148.0,8208,2987,,26.0,141948.0,25185.0,5636212.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Bahamas,11225,221.0,10080,924,8.0,557.0,92954.0,234419.0,396529.0,201,5.0,113,83,2021-05-18 02:08:00+00:00
Aruba,10857,105.0,10672,80,14.0,980.0,158379.0,1477926.0,107163.0,8,1.0,23,-16,2021-05-18 02:08:00+00:00
Lesotho,10790,320.0,6427,4043,,148.0,87981.0,40787.0,2157103.0,8,0.0,0,8,2021-05-18 02:08:00+00:00
South Sudan,10652,115.0,10462,75,,10.0,159088.0,14068.0,11308374.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Seychelles,9764,35.0,7826,1903,,354.0,21504.0,217476.0,98880.0,580,3.0,1413,-836,2021-05-18 02:08:00+00:00
Benin,7995,101.0,7652,242,35.0,8.0,595112.0,47996.0,12399208.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Equatorial Guinea,7694,112.0,7279,303,7.0,78.0,123169.0,85359.0,1442953.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Nicaragua,7086,184.0,4225,2677,,27.0,,,6693404.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
CAR,6866,95.0,5112,1659,2.0,19.0,40907.0,8343.0,4902986.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Yemen,6568,1294.0,3042,2232,23.0,43.0,38810.0,1277.0,30397797.0,30,9.0,28,-7,2021-05-18 02:08:00+00:00
Iceland,6548,29.0,6456,63,4.0,85.0,631957.0,1841468.0,343181.0,11,0.0,11,0,2021-05-18 02:08:00+00:00
Gambia,5957,175.0,5701,81,3.0,71.0,76379.0,30852.0,2475641.0,17,0.0,27,-10,2021-05-18 02:08:00+00:00
Niger,5339,192.0,4975,172,2.0,8.0,102694.0,4113.0,24965512.0,9,0.0,22,-13,2021-05-18 02:08:00+00:00
San Marino,5087,90.0,4974,23,4.0,2648.0,64241.0,1889830.0,33993.0,4,0.0,6,-2,2021-05-18 02:08:00+00:00
Chad,4904,173.0,4691,40,,10.0,116939.0,6946.0,16835185.0,3,0.0,13,-10,2021-05-18 02:08:00+00:00
Saint Lucia,4818,76.0,4521,221,2.0,412.0,43260.0,234647.0,184362.0,0,1.0,5,-6,2021-05-18 02:08:00+00:00
Timor-Leste,4589,10.0,2406,2173,,7.0,85223.0,63584.0,1340328.0,310,2.0,139,169,2021-05-18 02:08:00+00:00
Vietnam,4359,37.0,2668,1654,,0.4,3091540.0,31513.0,98104367.0,374,1.0,0,373,2021-05-18 02:08:00+00:00
Burundi,4347,6.0,773,3568,,0.5,279132.0,22883.0,12198207.0,57,0.0,0,57,2021-05-18 02:08:00+00:00
Gibraltar,4286,94.0,4192,0,,2791.0,244039.0,7245383.0,33682.0,0,0.0,3,-3,2021-05-18 02:08:00+00:00
Sierra Leone,4107,79.0,3104,924,,10.0,153257.0,18878.0,8118280.0,4,0.0,3,1,2021-05-18 02:08:00+00:00
Channel Islands,4059,86.0,3956,17,,491.0,454413.0,2592734.0,175264.0,2,0.0,0,2,2021-05-18 02:08:00+00:00
Barbados,3968,46.0,3922,0,,160.0,163093.0,566919.0,287683.0,3,0.0,5,-2,2021-05-18 02:08:00+00:00
Eritrea,3868,14.0,3676,178,,4.0,23693.0,6601.0,3589270.0,24,2.0,22,0,2021-05-18 02:08:00+00:00
Comoros,3863,146.0,3699,18,,165.0,,,885730.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Guinea-Bissau,3746,67.0,3438,241,9.0,33.0,65627.0,32675.0,2008468.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Liechtenstein,2990,58.0,2887,45,3.0,1517.0,39109.0,1023153.0,38224.0,6,0.0,0,6,2021-05-18 02:08:00+00:00
New Zealand,2653,26.0,2608,19,,5.0,2085298.0,416885.0,5002100.0,8,0.0,7,1,2021-05-18 02:08:00+00:00
Monaco,2494,32.0,2446,16,1.0,810.0,51953.0,1315765.0,39485.0,1,0.0,12,-11,2021-05-18 02:08:00+00:00
Bermuda,2477,32.0,2284,161,7.0,515.0,256914.0,4138701.0,62076.0,11,0.0,34,-23,2021-05-18 02:08:00+00:00
Turks and Caicos,2404,17.0,2365,22,2.0,434.0,65926.0,1682902.0,39174.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Sao Tome and Principe,2330,35.0,2275,20,,157.0,13418.0,60250.0,222706.0,3,0.0,1,2,2021-05-18 02:08:00+00:00
Sint Maarten,2292,27.0,2229,36,2.0,624.0,28642.0,661463.0,43301.0,10,0.0,6,4,2021-05-18 02:08:00+00:00
Liberia,2114,85.0,1962,67,2.0,16.0,97875.0,18964.0,5161107.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Taiwan,2017,12.0,1123,882,,0.5,610865.0,25608.0,23854548.0,542,0.0,7,535,2021-05-18 02:08:00+00:00
