Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
Costa Rica,250991,,3231.0,,203009,,44751,380.0,629.0,974477.0,189854.0,5132758.0,2021-05-02 17:42:00+00:00
Ireland,249838,401.0,4906.0,,232281,584.0,12651,41.0,984.0,4512912.0,905558.0,4983570.0,2021-05-02 17:42:00+00:00
Lithuania,249680,949.0,3950.0,12.0,224833,184.0,20897,223.0,1468.0,2831332.0,1052337.0,2690519.0,2021-05-02 17:42:00+00:00
Slovenia,241672,362.0,4263.0,5.0,227883,472.0,9526,152.0,2050.0,1180616.0,567829.0,2079176.0,2021-05-02 17:42:00+00:00
Egypt,228584,,13402.0,,171542,,43640,90.0,129.0,2715258.0,26125.0,103931972.0,2021-05-02 17:42:00+00:00
Guatemala,228477,,7543.0,,204141,,16793,5.0,415.0,1264544.0,69519.0,18189912.0,2021-05-02 17:42:00+00:00
Armenia,216863,267.0,4139.0,11.0,199755,640.0,12969,,1395.0,991027.0,333920.0,2967855.0,2021-05-02 17:42:00+00:00
Honduras,213167,834.0,5318.0,37.0,78806,183.0,129043,566.0,530.0,629447.0,62724.0,10035141.0,2021-05-02 17:42:00+00:00
Qatar,206948,646.0,472.0,7.0,192551,1480.0,13925,341.0,168.0,1913127.0,681360.0,2807805.0,2021-05-02 17:42:00+00:00
Uruguay,200908,,2669.0,,170750,,27489,559.0,766.0,1814302.0,520790.0,3483749.0,2021-05-02 17:42:00+00:00
Venezuela,198865,,2155.0,,180301,,16409,317.0,76.0,3359014.0,118405.0,28368759.0,2021-05-02 17:42:00+00:00
Bosnia and Herzegovina,198461,,8551.0,,159223,,30687,,2620.0,907054.0,277915.0,3263787.0,2021-05-02 17:42:00+00:00
Oman,195807,2554.0,2043.0,33.0,176833,3710.0,16931,276.0,392.0,1550000.0,297285.0,5213849.0,2021-05-02 17:42:00+00:00
Bahrain,177997,,648.0,,166851,,10498,89.0,370.0,4108476.0,2347399.0,1750225.0,2021-05-02 17:42:00+00:00
Libya,177871,363.0,3039.0,10.0,163716,525.0,11116,,437.0,961088.0,138310.0,6948783.0,2021-05-02 17:42:00+00:00
Nigeria,165153,43.0,2063.0,,155109,8.0,7981,11.0,10.0,1912628.0,9092.0,210358766.0,2021-05-02 17:42:00+00:00
Kenya,160422,369.0,2763.0,19.0,108861,72.0,48798,190.0,50.0,1679779.0,30681.0,54750456.0,2021-05-02 17:42:00+00:00
North Macedonia,152685,104.0,4936.0,45.0,133473,403.0,14276,124.0,2369.0,724668.0,347846.0,2083303.0,2021-05-02 17:42:00+00:00
Myanmar,142838,7.0,3209.0,,131981,9.0,7648,,59.0,2579427.0,47145.0,54713038.0,2021-05-02 17:42:00+00:00
Albania,131238,53.0,2397.0,1.0,110920,748.0,17921,18.0,834.0,637851.0,221847.0,2875178.0,2021-05-02 17:42:00+00:00
S. Korea,123240,606.0,1833.0,2.0,112865,528.0,8542,170.0,36.0,8898234.0,173435.0,51305935.0,2021-05-02 17:42:00+00:00
Estonia,122685,174.0,1168.0,2.0,112267,260.0,9250,57.0,880.0,1293019.0,974189.0,1327278.0,2021-05-02 17:42:00+00:00
Algeria,122522,211.0,3270.0,9.0,85398,149.0,33854,28.0,73.0,230861.0,5187.0,44506651.0,2021-05-02 17:42:00+00:00
Latvia,119750,380.0,2144.0,5.0,108949,,8657,84.0,1147.0,2308662.0,1235391.0,1868770.0,2021-05-02 17:42:00+00:00
Norway,113423,164.0,756.0,,88952,,23715,36.0,139.0,5212177.0,955229.0,5456469.0,2021-05-02 17:42:00+00:00
Sri Lanka,111753,1891.0,687.0,,97242,764.0,13824,,32.0,2733805.0,127225.0,21487952.0,2021-05-02 17:42:00+00:00
Cuba,108693,1071.0,664.0,10.0,102339,864.0,5690,113.0,59.0,3677091.0,324807.0,11320855.0,2021-05-02 17:42:00+00:00
Montenegro,97619,102.0,1505.0,3.0,93874,173.0,2240,69.0,2396.0,377946.0,601698.0,628132.0,2021-05-02 17:42:00+00:00
Kyrgyzstan,96060,308.0,1619.0,7.0,89719,258.0,4722,72.0,245.0,996830.0,150730.0,6613368.0,2021-05-02 17:42:00+00:00
Ghana,92601,,779.0,,90248,,1574,7.0,25.0,1081113.0,34202.0,31609384.0,2021-05-02 17:42:00+00:00
Zambia,91693,23.0,1253.0,2.0,90082,70.0,358,48.0,67.0,1409851.0,74958.0,18808586.0,2021-05-02 17:42:00+00:00
Uzbekistan,91643,393.0,652.0,2.0,87628,315.0,3363,23.0,19.0,1377915.0,40681.0,33871350.0,2021-05-02 17:42:00+00:00
China,90686,15.0,4636.0,,85725,15.0,325,4.0,3.0,160000000.0,111163.0,1439323776.0,2021-05-02 17:42:00+00:00
Finland,87228,132.0,914.0,,46000,,40314,31.0,165.0,4497845.0,810731.0,5547888.0,2021-05-02 17:42:00+00:00
Cameroon,72250,,1107.0,,67625,,3518,385.0,41.0,1257949.0,46433.0,27091519.0,2021-05-02 17:42:00+00:00
Mozambique,69984,19.0,815.0,1.0,66931,48.0,2238,43.0,25.0,521012.0,16293.0,31977645.0,2021-05-02 17:42:00+00:00
El Salvador,69198,,2124.0,,64876,,2198,31.0,326.0,914674.0,140429.0,6513428.0,2021-05-02 17:42:00+00:00
Thailand,68984,1940.0,245.0,21.0,39481,1406.0,29258,954.0,4.0,8124896.0,116160.0,69945784.0,2021-05-02 17:42:00+00:00
Luxembourg,67397,,797.0,,63661,,2939,34.0,1256.0,2673110.0,4213497.0,634416.0,2021-05-02 17:42:00+00:00
Cyprus,66372,463.0,313.0,1.0,39061,,26998,71.0,258.0,4930468.0,4059121.0,1214664.0,2021-05-02 17:42:00+00:00
Singapore,61218,39.0,31.0,,60786,21.0,401,,5.0,9536636.0,1619514.0,5888578.0,2021-05-02 17:42:00+00:00
Afghanistan,60288,166.0,2642.0,5.0,53391,119.0,4255,1124.0,67.0,406816.0,10259.0,39652974.0,2021-05-02 17:42:00+00:00
Namibia,48654,,643.0,,46238,,1773,37.0,249.0,388574.0,150668.0,2579003.0,2021-05-02 17:42:00+00:00
Botswana,46934,,712.0,,44960,,1262,1.0,298.0,999041.0,417850.0,2390908.0,2021-05-02 17:42:00+00:00
Ivory Coast,46114,,286.0,,45582,,246,,11.0,594288.0,22078.0,26917693.0,2021-05-02 17:42:00+00:00
Jamaica,45867,90.0,784.0,5.0,21293,140.0,23790,22.0,264.0,333911.0,112355.0,2971920.0,2021-05-02 17:42:00+00:00
Uganda,41905,,342.0,,41422,,141,24.0,7.0,1017854.0,21688.0,46930713.0,2021-05-02 17:42:00+00:00
Senegal,40433,45.0,1110.0,1.0,39158,48.0,165,11.0,65.0,482800.0,28221.0,17108079.0,2021-05-02 17:42:00+00:00
Mongolia,38470,1185.0,117.0,2.0,21707,1026.0,16646,119.0,35.0,2719337.0,818576.0,3322033.0,2021-05-02 17:42:00+00:00
Zimbabwe,38260,,1568.0,,35620,,1072,12.0,104.0,417583.0,27761.0,15042299.0,2021-05-02 17:42:00+00:00
Madagascar,37630,334.0,666.0,12.0,32747,636.0,4217,332.0,24.0,185806.0,6571.0,28278674.0,2021-05-02 17:42:00+00:00
Malawi,34095,,1148.0,,32064,,883,12.0,59.0,233149.0,11933.0,19537996.0,2021-05-02 17:42:00+00:00
Sudan,33104,,2349.0,,26795,,3960,,53.0,232965.0,5212.0,44695198.0,2021-05-02 17:42:00+00:00
